,0-14
107,1.0032366117396504e-71
108,1.7274496240822326e-72
109,2.974455047615672e-73
110,5.121644479205479e-74
111,8.818839670279426e-75
112,1.518495347458379e-75
113,2.6146615727958722e-76
114,4.5021245219473845e-77
115,7.752102766189386e-78
116,1.3348164184398688e-78
117,2.2983891270219387e-79
118,3.957542405259711e-80
119,6.814399574593585e-81
120,1.1733555021547238e-81
121,2.020373356986298e-82
122,3.4788335624831165e-83
123,5.990122030470355e-84
124,1.0314250824438638e-84
125,1.7759866915612686e-85
126,3.0580298872791913e-86
127,5.265550038143501e-87
128,9.06662728167826e-88
129,1.5611613159003515e-88
130,2.6881271045395607e-89
131,4.628623100357093e-90
132,7.969917705520464e-91
133,1.3723214626800807e-91
134,2.3629681842610855e-92
135,4.06873957135785e-93
136,7.00586737045298e-94
137,1.2063238934704707e-94
138,2.077140857811679e-95
139,3.5765801925536108e-96
140,6.158429663380387e-97
141,1.0604055795467801e-97
142,1.825887530745495e-98
143,3.143952973499803e-99
144,5.413498987827863e-100
145,9.321377112899469e-101
146,1.605026092666721e-101
147,2.7636568362587017e-102
148,4.758675976357116e-103
149,8.193852706624027e-104
150,1.4108803060225718e-104
151,2.4293617534925056e-105
152,4.1830611031562317e-106
153,7.202714938433152e-107
154,1.2402186151472645e-107
155,2.135503385189362e-108
156,3.677073261486019e-109
157,6.331466325040025e-110
158,1.0902003570338236e-110
159,1.8771904602511852e-111
160,3.2322902862053735e-112
161,5.56560493755099e-113
162,9.583284785122733e-114
163,1.6501233613102368e-114
164,2.841308766873843e-115
165,4.89238301693031e-116
166,8.424079728118781e-117
167,1.4505225576191369e-117
168,2.4976208180211735e-118
169,4.300594787613565e-119
170,7.40509343684217e-120
171,1.2750656947801307e-120
172,2.195505755425607e-121
173,3.780389937428405e-122
174,6.509364889476006e-123
175,1.1208322941724431e-123
176,1.929934875353085e-124
177,3.3231096591967746e-125
178,5.721984688745809e-126
179,9.852551415999705e-127
180,1.6964877518082797e-127
