,0-2,3-6,7-14,15 и ст.
55,0.6876907015090651,2.6507531875481503,3.3601288885358733,0.9149413102092013
56,0.5003114240337825,1.9284283176558497,2.4444542150000306,0.6656489824905107
57,0.36398024500034604,1.402915106620784,1.778294995046538,0.4842684047663316
58,0.2647939284977815,1.02059794291279,1.2936677252080682,0.35230505059007217
59,0.1926340284029387,0.7424627048922338,0.9411081323653935,0.25629827870828237
60,0.1401374429803251,0.5401223722399958,0.6846281342424014,0.18645249857559276
61,0.1019465668783525,0.3929234249391388,0.4980452679489016,0.1356399421197721
62,0.07416329374630552,0.28583959563204986,0.3623114548172404,0.09867444835789939
63,0.053951552961115944,0.2079389854587087,0.26356923038687574,0.07178276156334598
64,0.03924802666290605,0.15126859450226926,0.19173743500281837,0.052219704764718156
65,0.028551631323543644,0.11004267206038627,0.1394822032418559,0.0379881186283673
66,0.020770333258255988,0.08005217254242872,0.10146831587076963,0.027635066963538006
67,0.015109691336737395,0.05823510408262603,0.07381454323081667,0.020103551792127253
68,0.010991764681363163,0.04236394529715124,0.053697404987740435,0.014624624617187332
69,0.007996115060693218,0.030818237834024924,0.03906290796801687,0.010638892395943251
70,0.005816885157553433,0.022419148071597925,0.028416839711103658,0.007739411289593465
71,0.004231572924474049,0.016309112740529236,0.02067221139473478,0.005630141462273765
72,0.0030783151956376743,0.01186428337185617,0.01503827640340102,0.004095723150114267
73,0.0022393618843891154,0.008630831705932854,0.010939794482108668,0.0029794891618896155
74,0.001629053823348516,0.006278613613155113,0.007958298882256038,0.002167469410918391
75,0.0011850769549138253,0.004567460979469476,0.00578937010845006,0.001576754604036058
76,0.0008621000075657474,0.0033226601230677655,0.004211554002271529,0.0011470311494619742
77,0.0006271461029141626,0.0024171131546574048,0.003063750718204167,0.0008344230586908978
78,0.00045622575077055086,0.0017583609757091303,0.00222876599658977,0.0006070121275656002
79,0.00033188746670611137,0.001279142961905072,0.001621345299277403,0.00044157901741680134
80,0.00024143593102592936,0.0009305294668245313,0.0011794690726501136,0.00032123250333836975
81,0.0001756357621133414,0.0006769259639785643,0.0008580203659693862,0.00023368483521576136
82,0.00012776855771150767,0.000492438740208194,0.0006241782536466506,0.00016999712404272088
83,9.294692634611006e-05,0.0003582310693658004,0.0004540667178139672,0.00012366665541743086
84,6.761546999853436e-05,0.0002605999248924033,0.00033031683283253426,8.996294305065694e-05
85,4.918776713551852e-05,0.00018957685842471264,0.00024029334376159296,6.54447317821792e-05
86,3.578229110028053e-05,0.00013791019016469013,0.00017480456720235575,4.7608634866418045e-05
87,2.603030039512914e-05,0.00010032458966524469,0.00012716389150023856,3.46335304301786e-05
88,1.893608589679788e-05,7.298244801103634e-05,9.25070526039692e-05,2.5194619249595056e-05
89,1.377530582971831e-05,5.309204585361987e-05,6.729547733621438e-05,1.8328158597449526e-05
90,1.0021028190179965e-05,3.8622510050201636e-05,4.8954983877050475e-05,1.3333061079725829e-05
91,7.289929325997667e-06,2.8096455093411123e-05,3.561294964859182e-05,9.699311402118848e-06
92,5.303155380054959e-06,2.0439137374105623e-05,2.590711061585219e-05,7.055892197408108e-06
93,3.857850429075227e-06,1.4868720454031688e-05,1.8846469809947055e-05,5.132901978690042e-06
94,2.8064442513755728e-06,1.0816447087216224e-05,1.3710113394669789e-05,3.7339973429995315e-06
95,2.0415849395598542e-06,7.868567301585374e-06,9.973603076880634e-06,2.7163456877611247e-06
96,1.4851779304035483e-06,5.724093214405036e-06,7.255429292804612e-06,1.9760415492734558e-06
97,1.080412302259848e-06,4.164067214521014e-06,5.278057870926163e-06,1.4374975253518552e-06
98,7.859601997317186e-07,3.029205695474808e-06,3.839592912291129e-06,1.0457265617910008e-06
99,5.717571285037898e-07,2.203635693796781e-06,2.7931625784376587e-06,7.607275996689875e-07
100,4.1593227506684433e-07,1.6030638916824681e-06,2.03192301051665e-06,5.534013402987307e-07
101,3.0257542724780286e-07,1.1661700017017734e-06,1.4781492321668811e-06,4.025791144834753e-07
102,2.2011249104969875e-07,8.4834577081631e-07,1.0752991827124427e-06,2.928614942065202e-07
103,1.6012373891796554e-07,6.171403361491746e-07,7.822405932872276e-07,2.130459621531739e-07
104,1.1648412883162132e-07,4.4894688887770866e-07,5.690512516163179e-07,1.5498309913487882e-07
105,8.473791807060766e-08,3.265923441172902e-07,4.139638491587328e-07,1.1274450252212833e-07
106,6.164371774023267e-08,2.3758391444119876e-07,3.01143469807506e-07,8.201747751762524e-08
107,4.4843536675759886e-08,1.7283355662749416e-07,2.1907079468870694e-07,5.966469732759303e-08
108,3.26220230593531e-08,1.2573005359697192e-07,1.5936594313726378e-07,4.340387213713168e-08
109,2.3731321554275126e-08,9.146398816263043e-08,1.1593286027972444e-07,3.157472007525081e-08
110,1.726366331380319e-08,6.65366862677414e-08,8.433689048014317e-08,2.2969447165437015e-08
111,1.2558679900337469e-08,4.840299125834999e-08,6.135198492209817e-08,1.6709427726609646e-08
112,9.135977571628419e-09,3.521139530946134e-08,4.4631311783622275e-08,1.2155493901949063e-08
113,6.646087554713454e-09,2.5614994598602246e-08,3.246763725828672e-08,8.84267459171872e-09
114,4.834784174829215e-09,1.8633966149872887e-08,2.361901156403794e-08,6.4327204279591926e-09
115,3.5171276069927863e-09,1.3555524797709977e-08,1.7181961927941808e-08,4.679567440265869e-09
116,2.558580932789167e-09,9.861145558781904e-09,1.2499245148036633e-08,3.404213143293691e-09
117,1.8612734939204458e-09,7.173620585158354e-09,9.092740976025688e-09,2.4764398147691995e-09
118,1.3540079873080183e-09,5.218545045608434e-09,6.6146345221559774e-09,1.8015188526767381e-09
119,9.849909944358547e-10,3.796299521246856e-09,4.811903250852365e-09,1.3105386842813125e-09
