,A(H3N2)_0-14,B_0-14
57,7.547330297961802e-66,2099.5096207120996
58,5.179907039845525e-67,2215.2289150515944
59,3.531511187748352e-68,2318.3382942104145
60,2.390916336137372e-69,2405.5767029980498
61,1.606970280468123e-70,2473.983425871136
62,1.0719856050809525e-71,2521.097721515677
63,7.096312341591906e-73,2545.1385255963196
64,4.661159729663086e-74,2545.1428003248466
65,3.0377997847790157e-75,2521.0447155377224
66,1.9644762309002634e-76,2473.6848308138933
67,1.2606862298899547e-77,2404.747628668612
68,8.030077733706564e-79,2316.6353300090254
69,5.07799047372938e-80,2212.2939818542
70,3.1889934468871904e-81,2095.0128287672906
71,1.989547606633063e-82,1968.219248072184
72,1.2335534811062115e-83,1835.2892445697278
73,7.603939014816042e-85,1699.3886060659795
74,4.6620405433677324e-86,1563.3536423281491
75,2.844145333912463e-87,1429.6142791708344
76,1.7272120512859332e-88,1300.1571538708397
77,1.044558739113529e-89,1176.5228015814423
78,6.29334696467628e-91,1059.829139249238
79,3.778780810879509e-92,950.8130246926187
80,2.262000562041857e-93,849.8823025090579
81,1.350342349637281e-94,757.1720161291848
82,8.041434456723517e-96,672.5999914458881
83,4.778361416735512e-97,595.9185055586843
84,2.8339161237476393e-98,526.7600739011527
85,1.677853230174665e-99,464.67644060456377
86,9.918972377337477e-101,409.17062629702434
87,5.856023773458527e-102,359.7224009280943
88,3.4532796345205497e-103,315.80785261155836
89,2.0343003897132e-104,276.9138680239912
90,1.1973124658207777e-105,242.54837312661675
91,7.041373250378498e-107,212.24714457768926
92,4.13816059418343e-108,185.57792274844093
93,2.4304965877427507e-109,162.14245872877476
94,1.426768272028826e-110,141.5770248540816
95,8.371661213477087e-112,123.55182021968199
96,4.910153526054063e-113,107.76961439117485
97,2.878896265142e-114,93.96389626990393
98,1.6874230945894922e-115,81.89673122470687
99,9.887945113138739e-117,71.3564774717769
100,5.792780808307769e-118,62.15547102917494
101,3.3929710063794256e-119,54.12775592121382
102,1.98699403226728e-120,47.126911173462744
103,1.163446036917844e-121,41.02400713559766
104,6.811422682184149e-123,35.705709570345455
105,3.987299428778024e-124,31.0725397055453
106,2.3338657001289146e-125,27.037291193186135
107,1.3659492910440579e-126,23.52359994681587
108,7.993923221559997e-128,20.464659571583706
109,4.677958665251563e-129,17.80207311420362
110,2.737332600549281e-130,15.484830797427723
111,1.6016839498014394e-131,13.468402999754034
112,9.371454429344702e-133,11.71393779479134
113,5.48302943038493e-134,10.187552725198008
114,3.207891890247185e-135,8.859711041928371
115,1.876749541864719e-136,7.704673309430534
116,1.0979485712117852e-137,6.7000160032642775
117,6.423151785378291e-139,5.826209467557679
118,3.7575616742491595e-140,5.066248327996483
119,2.1981477089311155e-141,4.405328153435349
120,1.2858827954086283e-142,3.8305628145304516
121,7.52212371318836e-144,3.330737594847005
122,4.400224541112138e-145,2.89609366607786
123,2.573979612237939e-146,2.5181400441576005
124,1.5056769385547306e-147,2.1894895986477083
125,8.80755558028498e-149,1.9037160963243203
126,5.152005156700835e-150,1.6552296245588307
127,3.0136640703991664e-151,1.4391680642921263
128,1.7628337337693175e-152,1.2513025697135185
129,1.0311600809698729e-153,1.0879552656678309
130,6.031693847127146e-155,0.9459275976913375
131,3.5281833599449466e-156,0.8224379665843543
132,2.063772588033784e-157,0.7150674525001595
133,1.2071785744957685e-158,0.6217125853572629
134,7.061229339641876e-160,0.5405442514096533
135,4.130364215384755e-161,0.46997194224298405
136,2.4159932461759156e-162,0.40861265428178434
137,1.4131963381232326e-163,0.3552638358593137
138,8.266254793958957e-165,0.30887985658748274
139,4.835202131310993e-166,0.26855154156047534
140,2.828265006321453e-167,0.2334883720617556
141,1.6543417700917548e-168,0.2030030060039967
142,9.67676251537638e-170,0.17649781626893918
143,5.66023783912573e-171,0.15345318426720145
144,3.3108466085572207e-172,0.13341732014164345
145,1.9366148217826555e-173,0.11599741073602678
146,1.132784448220279e-174,0.10085192230705627
147,6.625995884607908e-176,0.08768390746530039
148,3.875742553876159e-177,0.076235185419621
149,2.2670368152134898e-178,0.06628128164662986
150,1.3260568107203945e-179,0.05762702793948996
151,7.75649659881915e-181,0.050102736695322746
152,4.5370024245444505e-182,0.04356087452712936
153,2.6538254497607947e-183,0.037873170051980445
154,1.5522999523835112e-184,0.032928099201780074
155,9.079854455105393e-186,0.02862869879121926
156,5.311070782356337e-187,0.024890665503342468
157,3.106599417872024e-188,0.021640703041592997
158,1.817140018882879e-189,0.018815085057214097
159,1.0628977867372757e-190,0.016358405687266174
160,6.217196435151895e-192,0.014222493213779842
161,3.636617763441136e-193,0.012365465550484919
162,2.1271626788363692e-194,0.010750909042592889
163,1.2442387949085986e-195,0.009347164481597003
164,7.27791130856121e-197,0.008126706338253638
165,4.257059965311236e-198,0.007065603043930356
166,2.490076941331448e-199,0.006143047739106865
167,1.4565176671241168e-200,0.005340950289093162
168,8.519590870732528e-202,0.004643582568029406
169,4.983353730845565e-203,0.004037270056475553
170,2.914906884196043e-204,0.0035101237058386926
171,1.7050128297414306e-205,0.0030518068123090254
172,9.9731100722294e-207,0.0026533323293483754
173,5.833558664006546e-208,0.0023068866445469997
174,3.4122160673875693e-209,0.0020056763655300503
175,1.9959032016237083e-210,0.001743795110723048
