,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_15 и ст.,B_15 и ст.
76,1503.0703569663501,4.165772843847429e-63,275.2430408334681,4202.012509093436,2.9933902225616762e-62,3939.4726076893335
77,1295.8219985639596,5.7844571115166136e-64,261.3820849019129,3632.9383578352313,4.168800547181042e-63,3757.583812726081
78,1111.9859753207984,8.013971726930395e-65,247.35831691433916,3125.169904969807,5.789675104550187e-64,3569.753524170334
79,950.3196517183065,1.1079769535950074e-65,233.33805488607436,2676.404937919993,8.020463119726153e-65,3378.835138446889
80,809.2109625331246,1.5289190160840448e-66,219.46341064268734,2283.05377652068,1.1085263531072939e-65,3187.3265757506906
81,686.8448590954746,2.1060869350154373e-67,205.8532141281309,1940.7381353352735,1.5289220220571987e-66,2997.365009045343
82,581.3305882657294,2.8964630925289888e-68,192.60447242667863,1644.6850337713904,2.1047536196260422e-67,2810.73646063039
83,490.7942076371846,3.9775579255000443e-69,179.79417339375848,1390.0226281178414,2.8924807176503125e-68,2628.895947888901
84,413.4420180203103,5.454742457380551e-70,167.48128203216044,1171.9908488388403,3.9688329281440283e-69,2452.994499907294
85,347.6007994306963,7.471185152664344e-71,155.70881173112917,986.0820114898381,5.438032633283147e-70,2283.9100641167984
86,291.740307619779,1.0221314642005273e-71,144.50588171230854,828.1264555902751,7.441578813504462e-71,2122.279994537049
87,244.48274450277688,1.3969055163320873e-72,133.88969654642207,694.3367979115122,1.0171497230805915e-71,1968.53341421178
88,204.60306978033515,1.907252150515149e-73,123.86740373401236,581.3223060345427,1.3888281540712407e-72,1822.9222532934014
89,171.02319970314466,2.60174551845261e-74,114.43780151949211,486.0826814727319,1.8945181705179445e-73,1685.5501769813536
90,142.8024086284812,3.5462488103932353e-75,105.5928818116503,405.9884637182268,2.582107994816112e-74,1556.3989400492405
91,119.12563625846865,4.830040776550047e-76,97.31920280148216,338.7534612299808,3.516498394894676e-75,1435.351947934956
92,99.29091080381167,6.574106897257354e-77,89.59909306764725,282.40312690762624,4.7856234340271486e-76,1322.214981095567
93,82.69671553962016,8.942358558111226e-78,82.41169407733031,235.24161623978654,6.5085966641982244e-77,1216.7341622585582
94,68.82983743722387,1.2156812443000371e-78,75.73385142206388,195.81936196089237,8.846731867234991e-78,1118.6113269404143
95,57.25402456473402,1.6518125828861497e-79,69.54086722550635,162.90232539120777,1.201845118631222e-78,1027.5170061834617
96,47.59962755469828,2.243337482925552e-80,63.80712722763357,135.44359656102662,1.6319450019149584e-79,943.1012552178357
97,39.55429553483899,3.045362686807584e-81,58.50661634513628,112.55767167548572,2.214996999452746e-80,865.0025694051899
98,32.85472682838805,4.132475656198528e-82,53.613336244636855,93.49750249392223,3.005168282888089e-81,792.8551246410129
99,27.279430127169146,5.605616791465772e-83,49.10163781670099,77.63425930349361,4.075756846715312e-82,726.2945674323175
100,22.642425480466944,7.601372632578692e-84,44.94648054152853,64.43965493112992,5.525936121296782e-83,664.9625631645013
101,18.787800829026637,1.0304542147758905e-84,41.12362969750287,53.47062444960187,7.4898746427005525e-84,608.510291849887
102,15.585034857378039,1.3965127952195468e-85,37.609801261014006,44.35613097424188,1.0149066496986768e-84,556.6010604963144
103,12.92499765373741,1.892130942913315e-86,34.38276323807437,36.785862710307725,1.3749002175892818e-85,508.9121812399053
104,10.716544915369962,2.5630502299050062e-87,31.421401095726434,30.50059333249022,1.8621706736886794e-86,465.1362452715195
105,8.883627714940634,3.471134927087538e-88,28.70575395089985,25.283991995494176,2.521620907679326e-87,424.9819047943496
106,7.362847117052142,4.700048668199484e-89,26.217027242478554,20.955687416573078,3.4139731794318093e-88,388.174259022219
107,6.101390513662077,6.362928394378809e-90,23.937586767248927,17.365410257801123,4.6213371874982265e-89,354.4549256632963
108,5.055293988073867,8.612757975004352e-91,21.850938204726216,14.388057975361246,6.254736793974726e-90,323.58186643279254
109,4.187982048945229,1.1656390840583736e-91,19.941695588162858,11.919545461413206,8.464284122221012e-91,295.3290238366777
110,3.4690425477452767,1.5773504702285207e-92,18.195541595179314,9.87332263685415,1.145293185260596e-91,269.48581666232167
111,2.8732004363188772,2.134222247591486e-93,16.599182025584295,8.177456382247552,1.549506174563226e-92,245.85653317470747
112,2.379459220373883,2.887374310154604e-94,15.140296399288646,6.7721887183563725,2.0961609627221347e-93,224.25965381226098
113,1.9703835384674004,3.905914976685664e-95,13.807486236605437,5.607895980131918,2.835402469258423e-94,204.52712906709488
114,1.631500283342853,5.283267639400793e-96,12.590222269511472,4.643384951590181,3.835016864005776e-95,186.50363308794792
115,1.350799132988464,7.145721788602212e-97,11.478791568732495,3.844471666046391,5.186635164427622e-96,170.04580923587753
116,1.1183163267838754,9.663990305352586e-98,10.464245351347895,3.182796967793925,7.014117726552783e-97,155.02152023860927
117,0.9257880622110704,1.3068829717981772e-98,9.538348051060323,2.6348401239391053,9.484886186612478e-98,141.30911262625904
118,0.7663620523144207,1.7672151495247107e-99,8.693528082982853,2.1810979119336755,1.282523881289002e-98,128.79670269707236
119,0.6343576222555176,2.38955543356243e-100,7.922830611981199,1.8054018242237009,1.7341049302202708e-99,117.38148927596936
120,0.5250662793877923,3.2308885669699e-101,7.219872534055593,1.4943504500739249,2.3445741070556435e-100,106.96909692042459
121,0.43458600508063566,4.368235719723873e-102,6.5787998002705645,1.236837827415657,3.169809400039704e-101,97.47295193637565
122,0.35968362323778774,5.905697798610468e-103,5.994247149146535,1.0236617033663387,4.2853339172442035e-102,88.81369253885316
123,0.29768053086953217,7.983974265030171e-104,5.4613002634640875,0.8471982876598628,5.793221143141331e-103,80.91861368287495
124,0.24635785691934958,1.0793227435339936e-104,4.975460328747463,0.701132304113485,7.831427066462954e-104,73.72114646162153
