,A(H1N1)pdm09_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_0-14,A(H3N2)_15 и ст.,B_0-14,B_15 и ст.
84,4.248919980228211e-07,0.0014940467128108307,6.665874093570584e-73,2.2205187527328963e-07,0.0010756099372389403,1.7645288971959035e-73
85,2.837001505147158e-07,0.0011459277514439888,7.511583663726542e-74,1.482639154432879e-07,0.0008249884602970302,1.9883973866358327e-74
86,1.8942643236028303e-07,0.0008789219240299959,8.464589665555161e-75,9.899573469779517e-08,0.0006327628012487701,2.240668400624062e-75
87,1.2647992320381375e-07,0.0006741295404663974,9.538504960530116e-76,6.609939733931711e-08,0.00048532649934108954,2.5249454111698152e-76
88,8.445057411034871e-08,0.0005170546152976249,1.0748669494086505e-76,4.413453096305935e-08,0.00037224345355199546,2.8452890680592955e-77
89,5.638760116061204e-08,0.00039657878663056654,1.2112369413394003e-77,2.9468601805509816e-08,0.00028550921627773377,3.2062752017063396e-78
90,3.764996978498551e-08,0.00030417431611177574,1.364908398492688e-78,1.967616902700876e-08,0.00021898440843060108,3.6130601849094494e-79
91,2.5138863779772943e-08,0.00023330046310847657,1.5380763838833538e-79,1.3137767095948759e-08,0.00016796015102658936,4.0714545871510594e-80
92,1.6785205290257853e-08,0.00017894050615915446,1.733214451458433e-80,8.772079762500503e-09,0.00012882475292372468,4.588006173526655e-81
93,1.120747218575777e-08,0.00013724664030849714,1.9531099786624247e-81,5.8571127611810106e-09,9.880806163963053e-05,5.170093433871228e-82
94,7.483222910167287e-09,0.00010526761480722437,2.2009039816980097e-82,3.910790919530375e-09,7.578538144877668e-05,5.826030978065267e-83
95,4.996543751356954e-09,8.073983233545559e-05,2.480135982208554e-83,2.611232911882515e-09,5.8127079349079676e-05,6.565188303000513e-84
96,3.336189467721893e-09,6.192712295661988e-05,2.7947945662639033e-84,1.7435187557854933e-09,4.458323344323249e-05,7.39812362768824e-85
97,2.2275718412215236e-09,4.7497851391772346e-05,3.149374357840592e-85,1.1641464984907656e-09,3.419515871240078e-05,8.336734708228099e-86
98,1.4873484721452477e-09,3.6430658798843754e-05,3.548940220613017e-86,7.772999660739098e-10,2.6227547642186775e-05,9.394428786898093e-87
99,9.93101742708049e-10,2.7942167100719784e-05,3.9991996051223017e-87,5.190027526296479e-10,2.0116422357398298e-05,1.058631410294052e-87
100,6.630934779688175e-10,2.1431528498948034e-05,4.5065840747391697e-88,3.4653784763576717e-10,1.5429214120324638e-05,1.1929415700608772e-88
101,4.427471442329888e-10,1.6437895176306283e-05,5.078341174948249e-89,2.313831270190717e-10,1.1834144467826413e-05,1.3442918617105072e-89
102,2.9562202047922e-10,1.2607798731674928e-05,5.722637958226569e-90,1.544943844699243e-10,9.076740667755824e-06,1.514844192413722e-90
103,1.9738665766592344e-10,9.670130339277947e-06,6.448677643279005e-91,1.0315581407849229e-10,6.961823169398019e-06,1.7070347537539372e-91
104,1.3179496087959286e-10,7.416950632597188e-06,7.266831075006344e-92,6.887707934721152e-11,5.339690051135631e-06,1.9236088206033522e-92
105,8.799942163539101e-11,5.688770963397383e-06,8.188784862997117e-93,4.5989187343993886e-11,4.0955205479507175e-06,2.167659964984825e-93
106,5.875716458689762e-11,4.363264187272449e-06,9.227708314572679e-94,3.0706954658410076e-11,3.1412476000907265e-06,2.442674245055354e-94
