,Все
135,1.9610024202063107e-05
136,1.5235790548737039e-05
137,1.1837278284277641e-05
138,9.196841918340115e-06
139,7.145384203939568e-06
140,5.551526912701109e-06
141,4.313197188930924e-06
142,3.3510906608331674e-06
143,2.6035926773537726e-06
144,2.0228324195401337e-06
145,1.5716171861770193e-06
146,1.2210505210532382e-06
147,9.486816433900473e-07
148,7.370676683615263e-07
149,5.726565402932643e-07
150,4.4491914001524526e-07
151,3.4567498530696593e-07
152,2.6856834134587473e-07
153,2.0866119053770085e-07
154,1.6211699494591181e-07
155,1.259549990228761e-07
156,9.785933784513857e-08
157,7.60307258765386e-08
158,5.907122819960977e-08
159,4.589473480335284e-08
160,3.565740457524292e-08
161,2.7703624533192e-08
162,2.1524023450908353e-08
163,1.6722851010349832e-08
164,1.2992633396455036e-08
165,1.0094482242902261e-08
166,7.842795886172727e-09
167,6.093373174777391e-09
168,4.734178625323814e-09
169,3.6781675130690748e-09
170,2.8577114056973976e-09
171,2.2202671436893876e-09
172,1.7250119027129686e-09
173,1.3402288427133985e-09
174,1.0412759170043662e-09
175,8.090077610463316e-10
176,6.285495964567222e-10
177,4.883446293456288e-10
178,3.794139370307269e-10
179,2.947814452388938e-10
180,2.2902717052824986e-10
181,1.779401169489051e-10
182,1.3824859795787652e-10
183,1.074107130254765e-10
184,8.345156076126385e-11
185,6.483676345988968e-11
186,5.0374203401417845e-11
187,3.913767796101115e-11
188,3.040758429416086e-11
189,2.362483496153255e-11
190,1.8355053185426127e-11
191,1.4260754751870086e-11
192,1.1079735048354957e-11
193,8.608277112797767e-12
194,6.688105313648279e-12
195,5.196249156518201e-12
196,4.037168081297363e-12
197,3.136632910721963e-12
198,2.436972109782087e-12
199,1.8933784197554714e-12
200,1.4710393385323915e-12
201,1.1429076791681656e-12
202,8.879694301069844e-13
203,6.898979884170554e-13
204,5.360085812464906e-13
205,4.1644591518390485e-13
206,3.235530294497417e-13
207,2.5138093339173536e-13
208,1.9530762478215622e-13
209,1.5174209031440253e-13
210,1.1789433207570285e-13
211,9.159669216878368e-14
212,7.116503286074449e-14
213,5.5290882041227464e-14
214,4.2957636833794735e-14
215,3.337545892229053e-14
216,2.593069219760202e-14
217,2.0146563359993255e-14
218,1.5652648688481887e-14
219,1.216115158635749e-14
220,9.448471683593964e-15
221,7.340885155631566e-15
222,5.703419206065081e-15
223,4.431208219509795e-15
224,3.442778020554834e-15
225,2.6748281533307593e-15
226,2.078178031558885e-15
227,1.6146173448473912e-15
228,1.2544590168372062e-15
229,9.746380032062076e-16
230,7.572341738901595e-16
231,5.883246828266713e-16
232,4.570923293714299e-16
233,3.5513280960158935e-16
234,2.759164929084494e-16
235,2.1437025529774561e-16
236,1.665525894157716e-16
237,1.2940118489185898e-16
238,1.0053681368841841e-16
239,7.811096100137533e-17
240,6.068744378022032e-17
241,4.715043555170899e-17
242,3.663300732795821e-17
