,A(H3N2)_0-14,B_0-14
119,4.5394151861652474e-13,0.0009651026493050748
120,3.225718699331223e-13,0.0007798607489655512
121,2.2922029947059197e-13,0.0006301741936935761
122,1.6288446206952268e-13,0.0005092184891417158
123,1.1574606600247692e-13,0.00041147903419006064
124,8.22494152937304e-14,0.0003324997002516395
125,5.84466197237364e-14,0.00026867966816644515
126,4.1532299531094215e-14,0.00021710926016205688
127,2.9512945496194044e-14,0.0001754372821926368
128,2.0971965455327638e-14,0.00014176382856972847
129,1.490272581514004e-14,0.00011455366166203396
130,1.058991047160766e-14,9.256621749110018e-05
131,7.525214187821552e-15,7.479904605174746e-05
132,5.347434116825488e-15,6.044210769799253e-05
133,3.799898701999631e-15,4.8840841882174454e-05
134,2.7002165573700507e-15,3.946632448219452e-05
135,1.918779953614021e-15,3.189115313334343e-05
136,1.3634893467029141e-15,2.5769961131423707e-05
137,9.688985935126285e-16,2.082367149901908e-05
138,6.885015175780804e-16,1.6826773327790386e-05
139,4.892507253480751e-16,1.3597040300928756e-05
140,3.4766266467831783e-16,1.0987222643509833e-05
141,2.470498706325975e-16,8.878333720820689e-06
142,1.7555419312328543e-16,7.1742252077725935e-06
143,1.2474920404966277e-16,5.797203500932422e-06
144,8.864706466802757e-17,4.684487516951986e-06
145,6.299280331225804e-17,3.7853463815958673e-06
146,4.476282755573184e-17,3.0587865110879603e-06
147,3.180856582646466e-17,2.471682635350445e-06
148,2.2603238337959758e-17,1.997267552875137e-06
149,1.6061911943609196e-17,1.6139117622341538e-06
150,1.1413630711877985e-17,1.304137331272136e-06
151,8.110551625708005e-18,1.0538210443704055e-06
152,5.763376206350165e-18,8.51550497726319e-07
153,4.095468080184101e-18,6.881037857865753e-07
154,2.9102488186116905e-18,5.560290567328154e-07
155,2.068029348631841e-18,4.4930476814097415e-07
156,1.4695463011415548e-18,3.6306515321279376e-07
157,1.044262903049883e-18,2.933783810539823e-07
158,7.420555649300507e-19,2.3706729689698566e-07
159,5.273063515277026e-19,1.9156456946836973e-07
160,3.7470507803197096e-19,1.5479564138907746e-07
161,2.6626627025457564e-19,1.2508414608987314e-07
162,1.8920940983133992e-19,1.0107547901617179e-07
163,1.3445263170012597e-19,8.167503858562265e-08
164,9.554234214459011e-20,6.599832118422247e-08
165,6.789260297135672e-20,5.3330594935282556e-08
166,4.8244636197522454e-20,4.309431369035873e-08
167,3.4282746867324093e-20,3.482278558294767e-08
168,2.4361396942799593e-20,2.8138895643368677e-08
169,1.73112633973393e-20,2.2737912397678567e-08
170,1.2301422661256631e-20,1.8373594570199438e-08
171,8.741418579196343e-21,1.4846964467348257e-08
172,6.211671680656421e-21,1.1997236199616545e-08
173,4.414027851279703e-21,9.694485141788895e-09
174,3.1366181075772766e-21,7.833724417909018e-09
175,2.228887873901595e-21,6.3301183464825145e-09
176,1.583852730564845e-21,5.115114617622461e-09
177,1.1254893085879839e-21,4.133318860610681e-09
178,7.997752311820563e-22,3.3399691073628973e-09
179,5.683220760353381e-22,2.698895007700915e-09
180,4.0385094401052835e-22,2.1808687531077e-09
181,2.8697738809648445e-22,1.76227252438881e-09
182,2.0392677669841591e-22,1.424021709600925e-09
183,1.4491082565928034e-22,1.1506947996695405e-09
184,1.0297395826693967e-22,9.298302919536133e-10
185,7.317352608350351e-23,7.513585462303542e-10
186,5.199727202496199e-23,6.071426903153111e-10
187,3.6949378316858524e-23,4.906076443167236e-10
188,2.6256311241615174e-23,3.9644035002216967e-10
189,1.8657793755139404e-23,3.2034753829526196e-10
190,1.3258270158588506e-23,2.588599906293476e-10
191,9.421356560429239e-24,2.091743707637439e-10
192,6.694837137652102e-24,1.6902541515987988e-10
193,4.757366310488486e-24,1.3658265525387039e-10
194,3.38059518802695e-24,1.1036696285320244e-10
195,2.4022585353822573e-24,8.918311382070595e-11
196,1.7070503121034737e-24,7.206529549368866e-11
197,1.2130337868021668e-24,5.823307341604494e-11
198,8.619845340764699e-25,4.705580982146206e-11
199,6.125281464301103e-25,3.802391163753198e-11
200,4.352638769454094e-25,3.072559715164875e-11
201,3.092994888115975e-25,2.4828122086039067e-11
202,2.1978891161490517e-25,2.006260914236398e-11
203,1.5618249436645452e-25,1.6211789365479175e-11
204,1.1098363137293667e-25,1.3100096431410382e-11
205,7.886521778697798e-26,1.0585662238967702e-11
206,5.604180093627882e-26,8.553848868534052e-12
207,3.9823429647589e-26,6.912022017514944e-12
208,2.829861857401214e-26,5.585327623259627e-12
209,2.0109061933743008e-26,4.51327912152149e-12
210,1.4289544586691124e-26,3.646999746968099e-12
211,1.0154182485877225e-26,2.946994146885724e-12
212,7.215584886625924e-27,2.381347711635771e-12
213,5.1274108308096425e-27,1.9242715258547885e-12
214,3.643549655500987e-27,1.5549266019081324e-12
215,2.5891145707169937e-27,1.2564737901256174e-12
