,0-2
81,1.495194777968797e-22
82,6.439859663817906e-23
83,2.7736715711385613e-23
84,1.1946306885795196e-23
85,5.145318922925509e-24
86,2.216108046754994e-24
87,9.54485999499498e-25
88,4.1110067921759497e-25
89,1.7706259551401287e-25
90,7.626152014593194e-26
91,3.284612110245563e-26
92,1.4146946840460164e-26
93,6.093142757482052e-27
94,2.6243393066887594e-27
95,1.1303127254280367e-27
96,4.868299057245639e-28
97,2.0967945576126928e-28
98,9.030972348115495e-29
99,3.889673466402218e-29
100,1.6752968663878757e-29
101,7.215566074560597e-30
102,3.1077712148179664e-30
103,1.338528650954013e-30
104,5.765092812759432e-31
105,2.4830469722139944e-31
106,1.0694575900973205e-31
107,4.606193720117022e-32
108,1.983904811532989e-32
109,8.544752002144955e-33
110,3.680256550300026e-33
111,1.5851002197168837e-33
112,6.827085753958327e-34
113,2.940451292109822e-34
114,1.2664633363155353e-34
115,5.454704815329997e-35
116,2.3493617042989713e-35
117,1.0118788467002771e-35
118,4.3581999252218406e-36
119,1.8770929593144986e-36
120,8.084709371676451e-37
121,3.4821144738800245e-37
122,1.4997596885403547e-37
123,6.459520903872962e-38
124,2.7821397405461094e-38
125,1.1982779607207536e-38
126,5.161027860042858e-39
127,2.2228739445493203e-39
128,9.574000969092272e-40
129,4.123557918384967e-40
130,1.7760317720009081e-40
131,7.64943506939293e-41
132,3.2946402087692194e-41
133,1.4190138234744603e-41
134,6.111745452059025e-42
135,2.6323515566116305e-42
136,1.1337636313471181e-42
137,4.8831622377217724e-43
138,2.103196184867861e-43
139,9.058544395417155e-44
140,3.901548849989903e-44
141,1.6804116383818363e-44
142,7.237595588266014e-45
143,3.1172594085179043e-45
144,1.3426152513616022e-45
145,5.782693953102314e-46
146,2.490627848993494e-46
147,1.0727227019949823e-46
148,4.62025667881473e-47
149,1.989961780284199e-47
150,8.570839592417918e-48
151,3.691492572709982e-48
152,1.5899396164674473e-48
153,6.84792921622182e-49
154,2.9494286490309945e-49
155,1.2703299174176236e-49
156,5.471358324319672e-50
157,2.356534432720972e-50
158,1.0149681675783981e-50
159,4.3715057454432216e-51
160,1.8828238257006215e-51
161,8.109392426902781e-52
162,3.492745557807951e-52
163,1.504338536030922e-52
164,6.479242170757894e-53
165,2.790633763733121e-53
166,1.2019363681812104e-53
167,5.1767847573953303e-54
168,2.229660498995755e-54
169,9.603230912160472e-55
170,4.136147363861516e-55
171,1.781454093113105e-55
172,7.672789208618952e-56
173,3.304698923620348e-56
174,1.423346149469314e-56
175,6.130404941669246e-57
176,2.640388268367107e-57
177,1.13722507306872e-57
178,4.898070796292236e-58
179,2.1096173566374694e-58
