,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14
36,1.8169985135847895e-15,5.3115187724262374e-14,3.126617369585559e-14
37,3.89515096658898e-16,1.0802899216920253e-14,6.236468968963312e-15
38,8.350144999615629e-17,2.197161235629557e-15,1.2439496300117387e-15
39,1.7900441372536756e-17,4.46872399567702e-16,2.481228864774689e-16
40,3.837368109731929e-18,9.08877046696015e-17,4.9491527075199943e-17
41,8.2262742594602285e-19,1.848531005293651e-17,9.871766716117386e-18
42,1.7634896172779562e-19,3.759658019700036e-18,1.969059834208991e-18
43,3.780442436222895e-20,7.646627719316695e-19,3.9275610356198334e-19
44,8.104241087426983e-21,1.555218989903969e-19,7.834061423895708e-20
45,1.737329021963906e-21,3.163101690497962e-20,1.5626114486005762e-20
46,3.724361230122717e-22,6.43331413092433e-21,3.116843750866787e-21
47,7.984018223998432e-23,1.308447680688859e-21,6.216974140319737e-22
48,1.7115565076118763e-23,2.661202761529181e-22,1.2400611179388006e-22
49,3.669111964127622e-24,5.412520685765654e-23,2.4734726918850304e-23
50,7.865578814040114e-25,1.1008323227880381e-23,4.933681952443021e-24
51,1.686166317210939e-25,2.238941656300538e-24,9.840908164347502e-25
52,3.6146822967708944e-26,4.553699629405782e-25,1.962904671047292e-25
53,7.748896400801705e-27,9.261599227696401e-26,3.915283714950457e-26
54,1.6611527791529006e-27,1.8836820000281774e-26,7.809572616879734e-27
55,3.5610600696660666e-28,3.83115031216126e-27,1.5577268187597873e-27
56,7.633944920007178e-29,7.7920332169409475e-28,3.1071006838950244e-28
57,1.6365103059653882e-29,1.584792469801573e-28,6.197540251343425e-29
58,3.508233304791003e-30,3.2232500843031293e-29,1.236184761121813e-29
59,7.5206986940326155e-31,6.55564769768306e-30,2.465740764327493e-30
60,1.6122333930637316e-31,1.3333286469277723e-30,4.918259558020244e-31
61,3.456190201812279e-32,2.711807227448409e-31,9.810146074563066e-32
62,7.409132426170386e-33,5.515443214833884e-32,1.9567687485571499e-32
63,1.588316617521361e-33,1.1217653507281196e-32,3.903044772450496e-33
64,3.404919135449235e-34,2.2815165582882002e-33,7.785160360408437e-34
65,7.29922119497843e-35,4.640291128946483e-34,1.5528574579794562e-34
66,1.564754636858444e-35,9.437714437424424e-35,3.097388073167333e-35
67,3.3544086528771595e-36,1.919501413321705e-35,6.17816711154062e-36
68,7.190940448713353e-37,3.904002076110205e-36,1.2323205215641724e-36
69,1.5415421878484956e-37,7.940203692737991e-37,2.458033006312619e-37
70,3.304647471168973e-38,1.6149283082602105e-37,4.902885373079153e-38
71,7.084265999846114e-39,3.284542238136061e-38,9.779480145229688e-39
72,1.518674085342688e-39,6.680307515150423e-39,1.9506520065933772e-39
73,3.2556244747748726e-40,1.3586827405909759e-39,3.890844088152092e-40
74,6.979174019659054e-41,2.7633739695263687e-40,7.7608244151894e-41
75,1.4961452211116013e-41,5.620322881362608e-41,1.5480033185294147e-41
76,3.207328713039362e-42,1.1430964335305713e-41,3.08770582347932e-42
77,6.875641032923099e-43,2.3249010491609312e-42,6.158854531013039e-43
78,1.473950562704162e-43,4.728529221016979e-43,1.2284683613880517e-43
79,3.15974939775512e-44,9.617178590065547e-44,2.450349342287866e-44
80,6.773643912653904e-45,1.9560019555789702e-44,4.887559246919793e-45
81,1.4520851523234993e-45,3.978239162763306e-45,9.748910075755556e-46
82,3.1128759007531487e-46,8.091191724529298e-46,1.9445543851987974e-46
83,6.673159874945795e-47,1.6456371988861885e-46,3.8786815424623955e-47
84,1.4305441057194876e-47,3.3469999013223523e-47,7.736564542678223e-48
